,elapsed_time,EventType,BlueBallsLeft,PurpleBallsLeft,BlueLives,PurpleLives
308,97.184,PurplePickedUpBall,1,2,3,3
309,97.2,PurpleDash,1,2,3,3
310,97.678,BlueDash,1,2,3,3
311,97.824,PurpleThrewBall,1,1,3,3
312,97.835,BlueThrewBall,0,1,3,3
313,98.139,PurpleThrewBall,0,0,3,3
314,98.346,BluePickedUpBall,1,0,3,3
315,98.346,BlueThrewBall,0,0,3,3
316,98.567,PurpleDash,0,0,3,3
317,98.984,BlueDash,0,0,3,3
318,99.837,PurpleDash,0,0,3,3
319,100.248,BlueDash,0,0,3,3
320,101.016,PurpleDash,0,0,3,3
321,101.525,BlueDash,0,0,3,3
322,102.04,BluePickedUpBall,1,0,3,3
323,102.275,BlueThrewBall,0,0,3,3
324,102.286,PurpleDash,0,0,3,3
325,102.295,HitPurple,0,0,3,2
326,102.702,BlueDash,0,0,3,2
327,103.774,BlueDash,0,0,3,2
328,103.785,PurpleDash,0,0,3,2
329,104.835,BlueDash,0,0,3,2
330,105.006,PurpleDash,0,0,3,2
331,106.113,BlueDash,0,0,3,2
332,106.371,PurpleDash,0,0,3,2
333,106.94,BluePickedUpBall,1,0,3,2
334,107.176,BlueDash,1,0,3,2
335,107.445,PurpleDash,1,0,3,2
336,107.562,PurplePickedUpBall,1,1,3,2
337,107.682,PurpleThrewBall,1,0,3,2
338,107.682,BlueThrewBall,0,0,3,2
339,108.568,BlueDash,0,0,3,2
340,108.581,PurpleDash,0,0,3,2
341,109.526,PurplePickedUpBall,0,1,3,2
342,109.645,PurpleThrewBall,0,0,3,2
343,110.026,PurpleDash,0,0,3,2
344,110.027,BlueDash,0,0,3,2
345,111.131,PurpleDash,0,0,3,2
346,111.131,BlueDash,0,0,3,2
347,112.244,BlueDash,0,0,3,2
348,112.723,PurpleDash,0,0,3,2
349,113.323,BlueDash,0,0,3,2
350,113.467,BluePickedUpBall,1,0,3,2
351,113.958,PurpleDash,1,0,3,2
352,114.356,BlueDash,1,0,3,2
353,114.365,BluePickedUpBall,2,0,3,2
354,114.618,BlueThrewBall,1,0,3,2
355,115.131,PurpleDash,1,0,3,2
356,115.265,BluePickedUpBall,2,0,3,2
357,115.518,BlueDash,2,0,3,2
358,116.493,PurpleDash,2,0,3,2
359,116.945,BlueDash,2,0,3,2
360,117.332,BluePickedUpBall,3,0,3,2
361,117.559,PurpleDash,3,0,3,2
362,119.252,BlueDash,3,0,3,2
363,119.296,BluePickedUpBall,4,0,3,2
364,119.9,BlueThrewBall,3,0,3,2
365,119.923,HitPurple,3,0,3,1
366,120.44,BlueThrewBall,2,0,3,1
367,120.453,HitPurple,2,0,3,0
368,120.453,GameEnd,2,0,3,0
369,120.454,ResetScene,0,0,3,3
370,120.908,PurpleDash,0,0,3,3
371,121.352,BluePickedUpBall,1,0,3,3
372,121.353,BlueDash,1,0,3,3
373,123.416,PurpleDash,1,0,3,3
374,123.954,BluePickedUpBall,2,0,3,3
375,124.231,BlueDash,2,0,3,3
376,124.868,PurplePickedUpBall,2,1,3,3
377,125.199,PurplePickedUpBall,2,2,3,3
378,125.208,PurpleThrewBall,2,1,3,3
379,125.332,PurplePickedUpBall,2,2,3,3
380,125.461,HitBlue,2,2,2,3
381,125.585,PurpleThrewBall,2,1,2,3
382,125.856,PurpleDash,2,1,2,3
383,125.856,BlueDash,2,1,2,3
384,126.395,BlueThrewBall,1,1,2,3
385,126.396,BluePickedUpBall,2,1,2,3
386,126.813,PurpleThrewBall,2,0,2,3
387,126.936,HitBlue,2,0,1,3
388,126.94,PurpleDash,2,0,1,3
389,126.94,BlueDash,2,0,1,3
390,127.083,BluePickedUpBall,3,0,1,3
391,127.198,BlueThrewBall,2,0,1,3
392,127.614,BlueThrewBall,1,0,1,3
393,127.731,HitPurple,1,0,1,2
394,127.902,PurplePickedUpBall,1,1,1,2
395,128.228,BluePickedUpBall,2,1,1,2
396,128.229,PurpleThrewBall,2,0,1,2
397,128.373,PurpleDash,2,0,1,2
398,128.374,BlueDash,2,0,1,2
399,128.679,BlueThrewBall,1,0,1,2
